frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
61,0,4.000,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.84,0.00,0.06,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
62,0,4.067,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.87,0.00,0.06,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,0,4.133,0.98,1,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.22,0.94,0.00,0.04,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,0,4.200,0.98,1,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.22,1.01,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,0,4.267,0.98,1,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.18,1.12,0.00,0.10,0.00,0.36,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66,0,4.333,0.98,1,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.18,1.16,0.00,0.20,0.00,0.41,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67,0,4.400,0.98,1,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.19,1.21,0.00,0.29,0.00,0.50,0.00,0.00,0.06,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,0,4.467,0.98,1,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.22,1.14,0.00,0.32,0.00,0.60,0.00,0.00,0.08,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69,0,4.533,0.98,1,0.00,0.00,0.45,0.00,0.00,0.01,0.00,0.00,0.21,1.17,0.00,0.35,0.00,0.64,0.00,0.00,0.08,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,0,4.600,0.98,1,0.00,0.00,0.50,0.00,0.00,0.01,0.00,0.00,0.19,1.15,0.00,0.32,0.00,0.67,0.00,0.00,0.06,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71,0,4.667,0.98,1,0.00,0.00,0.50,0.00,0.00,0.02,0.00,0.00,0.20,1.24,0.00,0.32,0.00,0.66,0.00,0.00,0.03,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72,0,4.733,0.98,1,0.00,0.00,0.51,0.00,0.00,0.07,0.00,0.00,0.22,1.22,0.00,0.32,0.00,0.69,0.00,0.00,0.03,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
